country,Year,Population,Yearly %   Change,Yearly  Change,Migrants (net),Median Age,Fertility Rate,Density (P/Km²),Urban  Pop %,Urban Population,Country's Share of  World Pop,World Population,Rank
Mozambique,2035,46786293,2.58 %,1120292,-5000,19.8,4.89,59,47.4 %,22168384,0.53 %,8887524213,38
Mozambique,2040,52729200,2.42 %,1188581,-5000,20.7,4.89,67,50.7 %,26725869,0.57 %,9198847240,36
Mozambique,2045,58928294,2.25 %,1239819,-5000,21.8,4.89,75,54.0 %,31831909,0.62 %,9481803274,33
Mozambique,2050,65312929,2.08 %,1276927, ,22.9,4.89,83,57.4 %,37472562,0.67 %,9735033990,30
Myanmar,2020,54409800,0.65 %,345815,-163313,29.0,2.17,83,31.4 %,17068066,0.70 %,7794798739,26
Myanmar,2025,56528471,0.77 %,423734,-40000,30.4,2.17,87,33.1 %,18722491,0.69 %,8184437460,27
Myanmar,2030,58478494,0.68 %,390005,-20000,31.9,2.17,90,35.3 %,20614897,0.68 %,8548487400,27
Myanmar,2035,60064897,0.54 %,317281,-20000,33.4,2.17,92,37.8 %,22714271,0.68 %,8887524213,28
Myanmar,2040,61201604,0.38 %,227341,-20000,34.9,2.17,94,40.8 %,24973796,0.67 %,9198847240,28
Myanmar,2045,61909753,0.23 %,141630,-20000,36.2,2.17,95,44.0 %,27231609,0.65 %,9481803274,30
Myanmar,2050,62253430,0.11 %,68735, ,37.3,2.17,95,47.2 %,29391985,0.64 %,9735033990,33
Namibia,2020,2540905,1.88 %,45200,-4806,21.8,3.42,3,55.2 %,1403099,0.03 %,7794798739,143
Namibia,2025,2774200,1.77 %,46659,-3989,22.5,3.42,3,60.7 %,1683548,0.03 %,8184437460,142
Namibia,2030,3010871,1.65 %,47334,-3311,23.3,3.42,4,65.5 %,1972115,0.04 %,8548487400,141
Namibia,2035,3252235,1.55 %,48273,-2748,24.4,3.42,4,69.5 %,2261493,0.04 %,8887524213,138
Namibia,2040,3496970,1.46 %,48947,-2281,25.7,3.42,4,72.8 %,2546440,0.04 %,9198847240,138
Namibia,2045,3741831,1.36 %,48972,-1894,26.9,3.42,5,75.6 %,2829120,0.04 %,9481803274,134
Namibia,2050,3981130,1.25 %,47860, ,28.1,3.42,5,78.3 %,3116044,0.04 %,9735033990,133
Nauru,2020,10824,0.84 %,88,,,,541,N.A.,N.A.,0 %,7794798739,227
Nauru,2025,10943,0.22 %,24,,,,547,N.A.,N.A.,0 %,8184437460,226
Nauru,2030,10991,0.09 %,10,,,,550,N.A.,N.A.,0 %,8548487400,226
Nauru,2035,11021,0.05 %,6,,,,551,N.A.,N.A.,0 %,8887524213,226
Nauru,2040,11017,-0.01 %,-1,,,,551,N.A.,N.A.,0 %,9198847240,226
Nauru,2045,10945,-0.13 %,-14,,,,547,N.A.,N.A.,0 %,9481803274,226
Nauru,2050,10794,-0.28 %,-30,,,,540,N.A.,N.A.,0 %,9735033990,226
Nepal,2020,29136808,1.52 %,424355,41710,24.6,1.93,203,21.4 %,6226233,0.37 %,7794798739,49
Nepal,2025,31757446,1.74 %,524128,154353,27.7,1.93,222,22.9 %,7265589,0.39 %,8184437460,49
Nepal,2030,33389536,1.01 %,326418,14392,30.3,1.93,233,25.2 %,8407931,0.39 %,8548487400,52
Nepal,2035,34299617,0.54 %,182016,-62361,32.8,1.93,239,28.1 %,9622950,0.39 %,8887524213,54
Nepal,2040,34889292,0.34 %,117935,-62362,35.4,1.93,243,31.2 %,10883768,0.38 %,9198847240,54
Nepal,2045,35220641,0.19 %,66270,-62217,37.8,1.93,246,34.6 %,12181771,0.37 %,9481803274,55
Nepal,2050,35323921,0.06 %,20656, ,40.1,1.93,246,38.2 %,13496018,0.36 %,9735033990,57
Netherlands,2020,17134872,0.23 %,39275,16000,43.3,1.66,508,92.5 %,15847281,0.22 %,7794798739,69
Netherlands,2025,17319579,0.21 %,36941,20000,44.1,1.66,514,94.2 %,16318658,0.21 %,8184437460,73
Netherlands,2030,17450322,0.15 %,26149,20000,44.7,1.66,518,95.5 %,16670530,0.20 %,8548487400,73
Netherlands,2035,17502352,0.06 %,10406,20000,45.5,1.66,519,96.5 %,16895053,0.20 %,8887524213,76
Netherlands,2040,17460757,-0.05 %,-8319,20000,46.3,1.66,518,97.3 %,16990243,0.19 %,9198847240,77
Netherlands,2045,17338420,-0.14 %,-24467,20000,46.9,1.66,514,97.9 %,16982955,0.18 %,9481803274,78
Netherlands,2050,17165372,-0.20 %,-34610, ,47.4,1.66,509,98.6 %,16927938,0.18 %,9735033990,78
New Caledonia,2020,285498,1.04 %,2887,502,33.6,1.97,16,71.9 %,205195,0.00 %,7794798739,184
New Caledonia,2025,298786,0.91 %,2658,502,35.1,1.97,16,74.8 %,223627,0.00 %,8184437460,184
New Caledonia,2030,311024,0.81 %,2448,502,36.3,1.97,17,77.7 %,241755,0.00 %,8548487400,184
New Caledonia,2035,322210,0.71 %,2237,502,37.8,1.97,18,80.5 %,259249,0.00 %,8887524213,184
New Caledonia,2040,332044,0.60 %,1967,502,39.3,1.97,18,83.1 %,275795,0.00 %,9198847240,184
New Caledonia,2045,340188,0.49 %,1629,502,40.6,1.97,19,85.7 %,291386,0.00 %,9481803274,185
New Caledonia,2050,346510,0.37 %,1264, ,41.8,1.97,19,88.4 %,306203,0.00 %,9735033990,184
New Zealand,2020,4822233,0.88 %,41540,14881,38.0,1.9,18,86.9 %,4191405,0.06 %,7794798739,126
New Zealand,2025,5006445,0.75 %,36842,12400,38.9,1.9,19,87.7 %,4388310,0.06 %,8184437460,127
New Zealand,2030,5172962,0.66 %,33303,12400,40.0,1.9,20,88.5 %,4578933,0.06 %,8548487400,127
New Zealand,2035,5315417,0.54 %,28491,12400,41.3,1.9,20,89.5 %,4756338,0.06 %,8887524213,127
New Zealand,2040,5432993,0.44 %,23515,12400,42.3,1.9,21,90.5 %,4918991,0.06 %,9198847240,126
New Zealand,2045,5529569,0.35 %,19315,12400,43.1,1.9,21,91.6 %,5067731,0.06 %,9481803274,127
New Zealand,2050,5607793,0.28 %,15645, ,43.7,1.9,21,92.7 %,5200447,0.06 %,9735033990,126
Nicaragua,2020,6624554,1.26 %,80263,-21272,26.5,2.42,55,57.2 %,3786513,0.08 %,7794798739,110
Nicaragua,2025,7008003,1.13 %,76690,-16034,28.3,2.42,58,58.1 %,4071293,0.09 %,8184437460,108
Nicaragua,2030,7391881,1.07 %,76776,-8000,30.0,2.42,61,59.4 %,4387220,0.09 %,8548487400,109
Nicaragua,2035,7739739,0.92 %,69572,-8000,31.7,2.42,64,60.8 %,4708736,0.09 %,8887524213,110
Nicaragua,2040,8048745,0.79 %,61801,-8000,33.5,2.42,67,62.5 %,5031702,0.09 %,9198847240,109
Nicaragua,2045,8314449,0.65 %,53141,-8000,35.2,2.42,69,64.3 %,5343215,0.09 %,9481803274,109
Nicaragua,2050,8531048,0.52 %,43320, ,37.1,2.42,71,65.9 %,5624111,0.09 %,9735033990,111
Niger,2020,24206644,3.89 %,840996,4000,15.2,6.95,19,16.5 %,4002638,0.31 %,7794798739,56
Niger,2025,29125520,3.77 %,983775,1000,15.6,6.95,23,17.4 %,5067678,0.36 %,8184437460,54
Niger,2030,34846020,3.65 %,1144100,1000,16.1,6.95,28,18.8 %,6542045,0.41 %,8548487400,50
Niger,2035,41396373,3.51 %,1310071,1000,16.7,6.95,33,20.7 %,8580995,0.47 %,8887524213,43
Niger,2040,48745855,3.32 %,1469896,1000,17.4,6.95,38,23.3 %,11378032,0.53 %,9198847240,38
Niger,2045,56837126,3.12 %,1618254,1000,18.2,6.95,45,26.4 %,14980634,0.60 %,9481803274,36
Niger,2050,65593043,2.91 %,1751183, ,19.0,6.95,52,29.7 %,19464442,0.67 %,9735033990,32
Nigeria,2020,206139589,2.62 %,5000428,-60000,18.1,5.42,226,52.0 %,107112526,2.64 %,7794798739,7
Nigeria,2025,233343112,2.51 %,5440705,-60000,18.5,5.42,256,55.8 %,130312056,2.85 %,8184437460,6
Nigeria,2030,262977337,2.42 %,5926845,-60000,19.1,5.42,289,59.4 %,156299881,3.08 %,8548487400,6
Nigeria,2035,294986051,2.32 %,6401743,-62360,19.9,5.42,324,62.7 %,184887647,3.32 %,8887524213,5
Nigeria,2040,329066615,2.21 %,6816113,-62360,20.7,5.42,361,65.7 %,216083536,3.58 %,9198847240,4
Nigeria,2045,364711807,2.08 %,7129038,-62216,21.5,5.42,400,68.6 %,250285391,3.85 %,9481803274,4
Nigeria,2050,401315000,1.93 %,7320639, ,22.4,5.42,441,71.5 %,287130349,4.12 %,9735033990,3
Niue,2020,1626,0.09 %,1,,,,6,46.4 %,754,0 %,7794798739,233
Niue,2025,1621,-0.06 %,-1,,,,6,50 %,810,0 %,8184437460,233
Niue,2030,1664,0.52 %,9,,,,6,52.8 %,878,0 %,8548487400,233
Niue,2035,1696,0.38 %,6,,,,7,55.4 %,939,0 %,8887524213,233
Niue,2040,1730,0.4 %,7,,,,7,57.5 %,994,0 %,9198847240,233
Niue,2045,1752,0.25 %,4,,,,7,59.5 %,1043,0 %,9481803274,233
Niue,2050,1778,0.3 %,5,,,,7,61.6 %,1096,0 %,9735033990,233
North Korea,2020,25778816,0.47 %,118997,-5403,35.3,1.91,214,62.5 %,16119904,0.33 %,7794798739,54
North Korea,2025,26275484,0.38 %,99334,-3717,36.5,1.91,218,64.0 %,16815725,0.32 %,8184437460,56
North Korea,2030,26651329,0.28 %,75169,-2031,37.8,1.91,221,65.8 %,17530948,0.31 %,8548487400,57
North Korea,2035,26843430,0.14 %,38420,-2031,39.1,1.91,223,67.9 %,18220460,0.30 %,8887524213,61
North Korea,2040,26858033,0.01 %,2921,-2031,40.4,1.91,223,70.2 %,18860424,0.29 %,9198847240,63
North Korea,2045,26746916,-0.08 %,-22223,-2031,41.5,1.91,222,72.6 %,19422437,0.28 %,9481803274,64
North Korea,2050,26561619,-0.14 %,-37059, ,42.1,1.91,221,74.9 %,19885471,0.27 %,9735033990,65
North Macedonia,2020,2083374,0.04 %,809,-1000,39.1,1.5,83,58.6 %,1221133,0.03 %,7794798739,148
North Macedonia,2025,2073805,-0.09 %,-1914,-1000,41.0,1.5,82,60.7 %,1258951,0.03 %,8184437460,149
North Macedonia,2030,2050747,-0.22 %,-4612,-1000,42.9,1.5,81,63.5 %,1302884,0.02 %,8548487400,150
North Macedonia,2035,2014291,-0.36 %,-7291,-1000,44.7,1.5,80,66.6 %,1341550,0.02 %,8887524213,152
North Macedonia,2040,1966965,-0.47 %,-9465,-1000,46.3,1.5,78,69.6 %,1369904,0.02 %,9198847240,152
North Macedonia,2045,1913371,-0.55 %,-10719,-1000,47.5,1.5,76,72.7 %,1390498,0.02 %,9481803274,152
North Macedonia,2050,1856775,-0.60 %,-11319, ,48.3,1.5,74,75.7 %,1405212,0.02 %,9735033990,153
Northern Mariana Islands,2020,57559,0.63 %,356,,,,125,88.3 %,50808,0 %,7794798739,208
Northern Mariana Islands,2025,59339,0.61 %,356,,,,129,87.2 %,51735,0 %,8184437460,208
Northern Mariana Islands,2030,61060,0.57 %,344,,,,133,86.2 %,52661,0 %,8548487400,207
Northern Mariana Islands,2035,62355,0.42 %,259,,,,136,85.1 %,53075,0 %,8887524213,207
Northern Mariana Islands,2040,62898,0.17 %,109,,,,137,83.7 %,52676,0 %,9198847240,207
Northern Mariana Islands,2045,62662,-0.08 %,-47,,,,136,82.1 %,51434,0 %,9481803274,207
Northern Mariana Islands,2050,62032,-0.2 %,-126,,,,135,80 %,49651,0 %,9735033990,207
Norway,2020,5421241,0.84 %,44281,28000,39.8,1.68,15,83.4 %,4521838,0.07 %,7794798739,119
Norway,2025,5651101,0.83 %,45972,28000,40.6,1.68,15,85.5 %,4830373,0.07 %,8184437460,117
Norway,2030,5875913,0.78 %,44962,28000,41.5,1.68,16,87.3 %,5129851,0.07 %,8548487400,120
Norway,2035,6083780,0.70 %,41573,28000,42.3,1.68,17,88.9 %,5409370,0.07 %,8887524213,122
Norway,2040,6271478,0.61 %,37540,28000,43.0,1.68,17,90.3 %,5666033,0.07 %,9198847240,120
Norway,2045,6442052,0.54 %,34115,28000,43.6,1.68,18,91.7 %,5905387,0.07 %,9481803274,120
Norway,2050,6600338,0.49 %,31657, ,44.1,1.68,18,93.0 %,6137995,0.07 %,9735033990,118
Oman,2020,5106626,3.66 %,167856,87400,30.6,2.93,16,87.0 %,4442970,0.07 %,7794798739,120
Oman,2025,5573005,1.76 %,93276,22000,32.1,2.93,18,89.5 %,4989686,0.07 %,8184437460,121
Oman,2030,5936081,1.27 %,72615,12000,33.7,2.93,19,91.1 %,5407224,0.07 %,8548487400,119
Oman,2035,6196675,0.86 %,52119,0,34.9,2.93,20,92.0 %,5703283,0.07 %,8887524213,120
Oman,2040,6437418,0.77 %,48149,0,35.5,2.93,21,92.5 %,5956398,0.07 %,9198847240,118
Oman,2045,6671916,0.72 %,46900,0,36.6,2.93,22,92.7 %,6183679,0.07 %,9481803274,117
Oman,2050,6915444,0.72 %,48706, ,38.4,2.93,22,92.7 %,6409863,0.07 %,9735033990,117
Pakistan,2020,220892340,2.07 %,4293075,-233379,22.8,3.55,287,35.1 %,77437729,2.83 %,7794798739,5
Pakistan,2025,242234056,1.86 %,4268343,-202293,23.8,3.55,314,36.2 %,87777053,2.96 %,8184437460,5
Pakistan,2030,262958794,1.66 %,4144948,-176062,24.9,3.55,341,37.8 %,99359685,3.08 %,8548487400,5
Pakistan,2035,282863442,1.47 %,3980930,-166292,26.1,3.55,367,39.8 %,112484070,3.18 %,8887524213,6
Pakistan,2040,302129193,1.33 %,3853150,-166294,27.4,3.55,392,42.2 %,127361588,3.28 %,9198847240,6
Pakistan,2045,320723644,1.20 %,3718890,-165910,28.7,3.55,416,44.8 %,143649422,3.38 %,9481803274,6
Pakistan,2050,338013196,1.06 %,3457910, ,30.0,3.55,438,47.4 %,160228128,3.47 %,9735033990,5
Palau,2020,18094,0.48 %,86,,,,39,N.A.,N.A.,0 %,7794798739,222
Palau,2025,18360,0.29 %,53,,,,40,N.A.,N.A.,0 %,8184437460,222
Palau,2030,18476,0.13 %,23,,,,40,N.A.,N.A.,0 %,8548487400,222
Palau,2035,18468,-0.01 %,-2,,,,40,N.A.,N.A.,0 %,8887524213,222
Palau,2040,18324,-0.16 %,-29,,,,40,N.A.,N.A.,0 %,9198847240,222
Palau,2045,18065,-0.28 %,-52,,,,39,N.A.,N.A.,0 %,9481803274,222
Palau,2050,17718,-0.39 %,-69,,,,39,N.A.,N.A.,0 %,9735033990,222
Panama,2020,4314767,1.69 %,69256,11200,29.7,2.47,58,68.0 %,2934512,0.06 %,7794798739,128
Panama,2025,4635501,1.44 %,64147,7600,31.0,2.47,62,69.7 %,3229574,0.06 %,8184437460,128
Panama,2030,4927612,1.23 %,58422,4530,32.3,2.47,66,71.6 %,3527608,0.06 %,8548487400,128
Panama,2035,5197279,1.07 %,53933,3427,33.6,2.47,70,73.6 %,3824043,0.06 %,8887524213,128
Panama,2040,5442242,0.93 %,48993,2600,34.9,2.47,73,75.6 %,4114605,0.06 %,9198847240,127
Panama,2045,5660974,0.79 %,43746,2000,36.3,2.47,76,77.6 %,4392362,0.06 %,9481803274,124
Panama,2050,5852947,0.67 %,38395, ,37.6,2.47,79,79.5 %,4652366,0.06 %,9735033990,123
Papua New Guinea,2020,8947024,1.99 %,167850,-800,22.4,3.59,20,13.1 %,1168469,0.11 %,7794798739,98
Papua New Guinea,2025,9817926,1.88 %,174180,-800,23.4,3.59,22,13.8 %,1351201,0.12 %,8184437460,95
Papua New Guinea,2030,10709348,1.75 %,178284,-800,24.4,3.59,24,14.9 %,1592390,0.13 %,8548487400,93
Papua New Guinea,2035,11606999,1.62 %,179530,-800,25.3,3.59,26,16.5 %,1909467,0.13 %,8887524213,87
Papua New Guinea,2040,12492600,1.48 %,177120,-800,26.3,3.59,28,18.5 %,2316480,0.14 %,9198847240,87
Papua New Guinea,2045,13360907,1.35 %,173661,-800,27.2,3.59,30,20.9 %,2789827,0.14 %,9481803274,86
Papua New Guinea,2050,14204066,1.23 %,168632, ,28.0,3.59,31,23.4 %,3325555,0.15 %,9735033990,84
Paraguay,2020,7132538,1.29 %,88758,-16556,26.3,2.45,18,61.6 %,4394032,0.09 %,7794798739,106
Paraguay,2025,7557749,1.16 %,85042,-15412,27.9,2.45,19,63.1 %,4770669,0.09 %,8184437460,106
Paraguay,2030,7949971,1.02 %,78444,-14062,29.5,2.45,20,64.8 %,5154236,0.09 %,8548487400,106
Paraguay,2035,8304241,0.88 %,70854,-12570,31.0,2.45,21,66.7 %,5538252,0.09 %,8887524213,104
Paraguay,2040,8613805,0.73 %,61913,-12570,32.4,2.45,22,68.7 %,5914612,0.09 %,9198847240,105
Paraguay,2045,8879807,0.61 %,53200,-12570,33.9,2.45,22,70.7 %,6275355,0.09 %,9481803274,103
Paraguay,2050,9101631,0.49 %,44365, ,35.3,2.45,23,72.6 %,6607228,0.09 %,9735033990,104
Peru,2020,32971854,1.59 %,500224,99069,31.0,2.27,26,79.1 %,26082479,0.42 %,7794798739,43
Peru,2025,34517495,0.92 %,309128,-63800,32.6,2.27,27,80.8 %,27880400,0.42 %,8184437460,45
Peru,2030,36030592,0.86 %,302619,-25400,34.2,2.27,28,82.3 %,29642906,0.42 %,8548487400,48
Peru,2035,37387960,0.74 %,271474,-12200,35.6,2.27,29,83.8 %,31327208,0.42 %,8887524213,49
Peru,2040,38552106,0.62 %,232829,-9860,36.8,2.27,30,85.4 %,32918395,0.42 %,9198847240,50
Peru,2045,39551259,0.51 %,199831,-5920,38.0,2.27,31,86.9 %,34384997,0.42 %,9481803274,50
Peru,2050,40373987,0.41 %,164546, ,39.4,2.27,32,88.3 %,35667261,0.41 %,9735033990,52
Philippines,2020,109581078,1.42 %,1493573,-67152,25.7,2.58,368,47.5 %,52008603,1.41 %,7794798739,13
Philippines,2025,116833059,1.29 %,1450396,-67152,27.3,2.58,392,49.3 %,57606092,1.43 %,8184437460,13
Philippines,2030,123697925,1.15 %,1372973,-73888,28.8,2.58,415,51.6 %,63844135,1.45 %,8548487400,12
Philippines,2035,130039792,1.00 %,1268373,-69792,30.2,2.58,436,54.4 %,70692327,1.46 %,8887524213,13
Philippines,2040,135618857,0.84 %,1115813,-69793,31.7,2.58,455,57.6 %,78089726,1.47 %,9198847240,14
Philippines,2045,140438218,0.70 %,963872,-69632,33.2,2.58,471,61.1 %,85814287,1.48 %,9481803274,13
Philippines,2050,144488158,0.57 %,809988, ,34.7,2.58,485,64.7 %,93465067,1.48 %,9735033990,13
Poland,2020,37846611,-0.10 %,-37494,-29395,41.7,1.42,124,60.2 %,22781639,0.49 %,7794798739,38
Poland,2025,37514692,-0.18 %,-66384,-10000,43.7,1.42,123,60.2 %,22598335,0.46 %,8184437460,40
Poland,2030,36944563,-0.31 %,-114026,-10000,46.0,1.42,121,61.0 %,22532769,0.43 %,8548487400,44
Poland,2035,36177728,-0.42 %,-153367,-10000,48.0,1.42,118,62.4 %,22568109,0.41 %,8887524213,52
Poland,2040,35282532,-0.50 %,-179039,-10000,49.7,1.42,115,64.3 %,22692384,0.38 %,9198847240,53
Poland,2045,34309974,-0.56 %,-194512,-10000,50.8,1.42,112,66.5 %,22805335,0.36 %,9481803274,56
Poland,2050,33294567,-0.60 %,-203081, ,51.2,1.42,109,68.5 %,22799232,0.34 %,9735033990,59
Portugal,2020,10196709,-0.33 %,-34328,-6000,46.2,1.29,111,66.5 %,6775807,0.13 %,7794798739,89
Portugal,2025,10060418,-0.27 %,-27258,8000,48.1,1.29,110,68.8 %,6926293,0.12 %,8184437460,94
Portugal,2030,9912679,-0.30 %,-29548,10000,49.8,1.29,108,71.1 %,7048858,0.12 %,8548487400,96
Portugal,2035,9747506,-0.34 %,-33035,10000,51.0,1.29,106,73.2 %,7135335,0.11 %,8887524213,97
Portugal,2040,9558265,-0.39 %,-37848,10000,51.6,1.29,104,75.1 %,7178825,0.10 %,9198847240,97
Portugal,2045,9338123,-0.46 %,-44028,10000,51.9,1.29,102,76.9 %,7179085,0.10 %,9481803274,99
Portugal,2050,9084576,-0.55 %,-50709, ,52.2,1.29,99,78.5 %,7133527,0.09 %,9735033990,102
Puerto Rico,2020,2860853,-3.29 %,-104133,-97986,44.5,1.22,323,N.A.,N.A.,0.04 %,7794798739,141
Puerto Rico,2025,2906644,0.32 %,9158,20006,45.5,1.22,328,N.A.,N.A.,0.04 %,8184437460,140
Puerto Rico,2030,2905352,-0.01 %,-258,10000,46.5,1.22,328,N.A.,N.A.,0.03 %,8548487400,142
Puerto Rico,2035,2799675,-0.74 %,-21135,-10000,47.7,1.22,316,N.A.,N.A.,0.03 %,8887524213,144
Puerto Rico,2040,2689202,-0.80 %,-22095,-7501,48.7,1.22,303,N.A.,N.A.,0.03 %,9198847240,145
Puerto Rico,2045,2573465,-0.88 %,-23147,-5001,49.7,1.22,290,N.A.,N.A.,0.03 %,9481803274,145
Puerto Rico,2050,2445386,-1.02 %,-25616, ,50.8,1.22,276,N.A.,N.A.,0.03 %,9735033990,147
Qatar,2020,2881053,2.35 %,63069,40000,32.3,1.88,248,96.2 %,2770452,0.04 %,7794798739,139
Qatar,2025,3121705,1.62 %,48130,26000,33.6,1.88,269,96.5 %,3010901,0.04 %,8184437460,137
Qatar,2030,3326890,1.28 %,41037,21000,35.3,1.88,287,96.7 %,3216779,0.04 %,8548487400,136
Qatar,2035,3497397,1.00 %,34101,17000,37.1,1.88,301,96.9 %,3389037,0.04 %,8887524213,137
Qatar,2040,3628685,0.74 %,26258,12000,38.7,1.88,313,97.1 %,3524170,0.04 %,9198847240,137
Qatar,2045,3746735,0.64 %,23610,12000,40.1,1.88,323,97.4 %,3648803,0.04 %,9481803274,133
Qatar,2050,3851131,0.55 %,20879, ,41.4,1.88,332,97.7 %,3762103,0.04 %,9735033990,134
Reunion,2020,895312,0.73 %,6390,-1256,35.9,2.27,358,99.8 %,893481,0.01 %,7794798739,162
Reunion,2025,926699,0.69 %,6277,-628,36.8,2.27,371,100.0 %,926529,0.01 %,8184437460,163
Reunion,2030,954806,0.60 %,5621,-628,37.7,2.27,382,N.A.,N.A.,0.01 %,8548487400,163
Reunion,2035,978511,0.49 %,4741,-628,38.7,2.27,391,N.A.,N.A.,0.01 %,8887524213,163
Reunion,2040,995894,0.35 %,3477,-628,40.0,2.27,398,N.A.,N.A.,0.01 %,9198847240,164
Reunion,2045,1006222,0.21 %,2066,-628,41.4,2.27,402,N.A.,N.A.,0.01 %,9481803274,164
Reunion,2050,1009876,0.07 %,731, ,42.7,2.27,404,N.A.,N.A.,0.01 %,9735033990,164
Romania,2020,19237691,-0.70 %,-137497,-73999,43.2,1.62,84,54.6 %,10507365,0.25 %,7794798739,61
Romania,2025,18772912,-0.49 %,-92956,-15000,44.8,1.62,82,55.6 %,10431178,0.23 %,8184437460,67
Romania,2030,18306101,-0.50 %,-93362,-8000,45.5,1.62,80,57.1 %,10456337,0.21 %,8548487400,72
Romania,2035,17814660,-0.54 %,-98288,-8000,46.7,1.62,77,59.2 %,10553645,0.20 %,8887524213,74
Romania,2040,17306600,-0.58 %,-101612,-8000,47.5,1.62,75,61.9 %,10706441,0.19 %,9198847240,78
Romania,2045,16786453,-0.61 %,-104029,-8000,47.5,1.62,73,64.6 %,10844374,0.18 %,9481803274,79
Romania,2050,16259787,-0.64 %,-105333, ,47.4,1.62,71,67.2 %,10932389,0.17 %,9735033990,79
Russia,2020,145934462,0.13 %,189881,182456,39.6,1.82,9,73.7 %,107486269,1.87 %,7794798739,9
Russia,2025,145132729,-0.11 %,-160347,90313,41.0,1.82,9,74.5 %,108062384,1.77 %,8184437460,9
Russia,2030,143347515,-0.25 %,-357043,93251,42.7,1.82,9,75.6 %,108336965,1.68 %,8548487400,9
Russia,2035,141133250,-0.31 %,-442853,97199,44.0,1.82,9,76.9 %,108569361,1.59 %,8887524213,11
Russia,2040,139031164,-0.30 %,-420417,97171,43.9,1.82,8,78.4 %,109062126,1.51 %,9198847240,12
Russia,2045,137298515,-0.25 %,-346530,97327,42.4,1.82,8,80.0 %,109795948,1.45 %,9481803274,14
Russia,2050,135824481,-0.22 %,-294807, ,41.7,1.82,8,81.4 %,110604995,1.40 %,9735033990,14
Rwanda,2020,12952218,2.64 %,316629,-9000,20.0,4.1,525,17.6 %,2281330,0.17 %,7794798739,76
Rwanda,2025,14576985,2.39 %,324953,-9000,20.9,4.1,591,18.2 %,2659944,0.18 %,8184437460,76
Rwanda,2030,16234387,2.18 %,331480,-9000,22.1,4.1,658,19.4 %,3143843,0.19 %,8548487400,76
Rwanda,2035,17921521,2.00 %,337427,-9000,23.2,4.1,726,21.0 %,3768985,0.20 %,8887524213,75
Rwanda,2040,19633864,1.84 %,342469,-9000,24.4,4.1,796,23.2 %,4562582,0.21 %,9198847240,76
Rwanda,2045,21357199,1.70 %,344667,-9000,25.8,4.1,866,25.6 %,5477407,0.23 %,9481803274,75
Rwanda,2050,23048005,1.54 %,338161, ,27.2,4.1,934,28.1 %,6483462,0.24 %,9735033990,72
Saint Barthelemy,2020,9877,0.38 %,37,,,,470,0 %,0,0 %,7794798739,228
Saint Barthelemy,2025,10054,0.36 %,35,,,,479,0 %,0,0 %,8184437460,228
Saint Barthelemy,2030,10226,0.34 %,34,,,,487,0 %,0,0 %,8548487400,228
Saint Barthelemy,2035,10389,0.32 %,33,,,,495,0 %,0,0 %,8887524213,227
Saint Barthelemy,2040,10556,0.32 %,33,,,,503,0 %,0,0 %,9198847240,227
Saint Barthelemy,2045,10700,0.27 %,29,,,,510,0 %,0,0 %,9481803274,227
Saint Barthelemy,2050,10831,0.24 %,26,,,,516,0 %,0,0 %,9735033990,227
Saint Helena,2020,6077,0.71 %,42,,,,16,27.2 %,1654,0 %,7794798739,229
Saint Helena,2025,6146,0.23 %,14,,,,16,28.3 %,1737,0 %,8184437460,229
Saint Helena,2030,6175,0.09 %,6,,,,16,29.7 %,1837,0 %,8548487400,229
Saint Helena,2035,6149,-0.08 %,-5,,,,16,31.5 %,1937,0 %,8887524213,229
Saint Helena,2040,6059,-0.29 %,-18,,,,16,33.4 %,2022,0 %,9198847240,229
Saint Helena,2045,5931,-0.43 %,-26,,,,15,35.2 %,2089,0 %,9481803274,229
Saint Helena,2050,5783,-0.5 %,-30,,,,15,37.2 %,2150,0 %,9735033990,229
Saint Kitts And Nevis,2020,53199,0.77 %,399,,,,205,32.9 %,17523,0 %,7794798739,211
Saint Kitts And Nevis,2025,54741,0.57 %,308,,,,211,33.8 %,18481,0 %,8184437460,211
Saint Kitts And Nevis,2030,55832,0.4 %,218,,,,215,35.2 %,19645,0 %,8548487400,210
Saint Kitts And Nevis,2035,56490,0.23 %,132,,,,217,37.2 %,21042,0 %,8887524213,210
Saint Kitts And Nevis,2040,56730,0.08 %,48,,,,218,39.9 %,22617,0 %,9198847240,209
Saint Kitts And Nevis,2045,56610,-0.04 %,-24,,,,218,42.6 %,24135,0 %,9481803274,208
Saint Kitts And Nevis,2050,56161,-0.16 %,-90,,,,216,45.5 %,25561,0 %,9735033990,208
Saint Lucia,2020,183627,0.50 %,900,0,34.5,1.44,301,18.6 %,34141,0.00 %,7794798739,189
Saint Lucia,2025,186920,0.36 %,659,0,36.6,1.44,306,19.2 %,35853,0.00 %,8184437460,189
Saint Lucia,2030,188738,0.19 %,364,0,39.0,1.44,309,20.1 %,37953,0.00 %,8548487400,189
Saint Lucia,2035,189056,0.03 %,64,0,41.6,1.44,310,21.4 %,40443,0.00 %,8887524213,189
Saint Lucia,2040,187944,-0.12 %,-222,0,44.2,1.44,308,23.0 %,43264,0.00 %,9198847240,191
Saint Lucia,2045,185589,-0.25 %,-471,0,46.5,1.44,304,24.8 %,46000,0.00 %,9481803274,191
