country,year,population,yearly change (%),yearly change,migrants (net),median age,fertility rate,density (p/km2),urban population (%),urban population,country's shared of world population,world population,rank
Azerbaijan,2005,8538605,1.00 %,83173,7305,27.1,1.9,103,52.4 %,4473283,0.13 %,6541907027.0,90.0
Azerbaijan,2000,8122741,0.88 %,69463,-22370,25.6,2.25,98,51.4 %,4173974,0.13 %,6143493823.0,89.0
Azerbaijan,1995,7775424,1.43 %,106533,-23023,24.6,2.9,94,52.2 %,4059242,0.14 %,5744212979.0,86.0
Azerbaijan,1990,7242761,1.67 %,115263,-32314,24.1,3.2,88,53.7 %,3892911,0.14 %,5327231061.0,86.0
Azerbaijan,1985,6666447,1.62 %,103143,-20314,22.8,3.3,81,53.5 %,3566399,0.14 %,4870921740.0,84.0
Azerbaijan,1980,6150733,1.63 %,95320,-10093,20.9,3.8,74,52.8 %,3246145,0.14 %,4458003514.0,84.0
Azerbaijan,1975,5674133,1.84 %,98822,-10093,19.1,4.6,69,51.9 %,2944711,0.14 %,4079480606.0,81.0
Azerbaijan,1970,5180023,2.44 %,117483,-8000,18.2,5.4,63,50.0 %,2590424,0.14 %,3700437046.0,80.0
Azerbaijan,1965,4592609,3.35 %,139442,0,19.1,6.0,56,51.2 %,2349771,0.14 %,3339583597.0,88.0
Azerbaijan,1960,3895397,3.19 %,113202,0,22.0,5.6,47,52.7 %,2051442,0.13 %,3034949748.0,85.0
Azerbaijan,1955,3329387,2.60 %,80293,0,22.1,5.2,40,50.0 %,1665547,0.12 %,2773019936.0,88.0
Bahamas,2020,393244,0.97 %,3762,1000,32.3,1.76,39,86.1 %,338674,0.01 %,7794798739.0,178.0
Bahamas,2019,389482,1.00 %,3845,1000,31.1,1.8,39,86.0 %,335099,0.01 %,7713468100.0,178.0
Bahamas,2018,385637,1.02 %,3882,1000,31.1,1.8,39,86.0 %,331506,0.01 %,7631091040.0,177.0
Bahamas,2017,381755,1.01 %,3825,1000,31.1,1.8,38,85.9 %,327853,0.01 %,7547858925.0,177.0
Bahamas,2016,377930,1.00 %,3724,1000,31.1,1.8,38,85.7 %,324066,0.01 %,7464022049.0,177.0
Bahamas,2015,374206,1.06 %,3853,1000,30.9,1.81,37,85.5 %,320094,0.01 %,7379797139.0,178.0
Bahamas,2010,354942,1.79 %,6017,2907,29.4,1.91,35,83.8 %,297422,0.01 %,6956823603.0,178.0
Bahamas,2005,324859,1.74 %,5362,2375,28.1,1.87,32,83.3 %,270701,0.00 %,6541907027.0,177.0
Bahamas,2000,298051,1.24 %,3573,-600,27.0,2.33,30,82.0 %,244291,0.00 %,6143493823.0,177.0
Bahamas,1995,280184,1.80 %,4792,-64,25.0,2.64,28,81.0 %,226812,0.00 %,5744212979.0,176.0
Bahamas,1990,256223,1.78 %,4329,-162,23.6,2.65,26,79.9 %,204654,0.00 %,5327231061.0,177.0
Bahamas,1985,234578,2.18 %,4797,129,21.8,3.05,23,76.7 %,179943,0.00 %,4870921740.0,177.0
Bahamas,1980,210591,2.20 %,4339,596,20.2,2.95,21,73.1 %,153998,0.00 %,4458003514.0,177.0
Bahamas,1975,188896,2.21 %,3904,190,19.7,3.54,19,70.0 %,132250,0.00 %,4079480606.0,176.0
Bahamas,1970,169377,3.87 %,5864,2786,19.1,3.58,17,66.8 %,113068,0.00 %,3700437046.0,174.0
Bahamas,1965,140059,5.04 %,6105,2775,18.7,4.5,14,63.3 %,88715,0.00 %,3339583597.0,177.0
Bahamas,1960,109534,4.33 %,4181,1576,19.3,4.31,11,59.7 %,65401,0.00 %,3034949748.0,175.0
Bahamas,1955,88631,2.30 %,1908,-184,20.1,4.05,9,55.9 %,49566,0.00 %,2773019936.0,177.0
Bahrain,2020,1701575,3.68 %,60403,47800,32.5,2.0,2239,89.3 %,1519595,0.02 %,7794798739.0,152.0
Bahrain,2019,1641172,4.57 %,71726,47800,31.4,2.1,2159,89.2 %,1464180,0.02 %,7713468100.0,152.0
Bahrain,2018,1569446,5.04 %,75370,47800,31.4,2.1,2065,89.1 %,1399126,0.02 %,7631091040.0,152.0
Bahrain,2017,1494076,4.79 %,68284,47800,31.4,2.1,1966,89.1 %,1331175,0.02 %,7547858925.0,152.0
Bahrain,2016,1425792,3.93 %,53941,47800,31.4,2.1,1876,89.1 %,1269684,0.02 %,7464022049.0,152.0
Bahrain,2015,1371851,2.03 %,26198,8400,31.2,2.12,1805,89.0 %,1220943,0.02 %,7379797139.0,152.0
Bahrain,2010,1240860,6.89 %,70339,54400,30.1,2.25,1633,88.6 %,1099822,0.02 %,6956823603.0,155.0
Bahrain,2005,889164,5.99 %,44911,31100,27.8,2.65,1170,88.4 %,786221,0.01 %,6541907027.0,157.0
Bahrain,2000,664611,3.35 %,20183,7836,26.6,2.95,874,88.4 %,587336,0.01 %,6143493823.0,161.0
Bahrain,1995,563697,2.59 %,13553,1096,26.4,3.4,742,88.4 %,498245,0.01 %,5744212979.0,162.0
Bahrain,1990,495931,3.41 %,15301,2580,25.4,4.08,653,88.1 %,437115,0.01 %,5327231061.0,163.0
Bahrain,1985,419428,3.11 %,11908,647,25.2,4.63,552,87.2 %,365554,0.01 %,4870921740.0,163.0
Bahrain,1980,359888,6.19 %,18669,9792,22.3,5.23,474,86.1 %,309868,0.01 %,4458003514.0,163.0
Bahrain,1975,266543,4.63 %,10788,3825,19.3,5.95,351,85.0 %,226495,0.01 %,4079480606.0,168.0
Bahrain,1970,212605,2.55 %,5035,-1607,17.5,6.97,280,83.8 %,178111,0.01 %,3700437046.0,172.0
Bahrain,1965,187431,2.91 %,5001,-839,16.8,7.17,247,82.5 %,154630,0.01 %,3339583597.0,172.0
Bahrain,1960,162427,3.99 %,5768,1572,19.6,6.97,214,82.3 %,133710,0.01 %,3034949748.0,172.0
Bahrain,1955,133585,2.93 %,3595,616,19.2,6.97,176,75.5 %,100895,0.00 %,2773019936.0,172.0
Bangladesh,2020,164689383,1.01 %,1643222,-369501,27.6,2.05,1265,39.4 %,64814953,2.11 %,7794798739.0,8.0
Bangladesh,2019,163046161,1.03 %,1669453,-369501,26.1,2.18,1253,38.6 %,62865820,2.11 %,7713468100.0,8.0
Bangladesh,2018,161376708,1.06 %,1691284,-369501,26.1,2.18,1240,37.8 %,60944245,2.11 %,7631091040.0,8.0
Bangladesh,2017,159685424,1.08 %,1708271,-369501,26.1,2.18,1227,37.0 %,59046818,2.12 %,7547858925.0,8.0
Bangladesh,2016,157977153,1.10 %,1720877,-369501,26.1,2.18,1214,36.2 %,57168030,2.12 %,7464022049.0,8.0
Bangladesh,2015,156256276,1.15 %,1736169,-461368,25.7,2.21,1200,35.4 %,55305132,2.12 %,7379797139.0,8.0
Bangladesh,2010,147575430,1.20 %,1707985,-650956,24.0,2.48,1134,31.4 %,46347089,2.12 %,6956823603.0,8.0
Bangladesh,2005,139035505,1.72 %,2275530,-298507,22.5,2.94,1068,27.7 %,38452976,2.13 %,6541907027.0,8.0
Bangladesh,2000,127657854,2.08 %,2497585,-143980,21.0,3.43,981,24.3 %,31040651,2.08 %,6143493823.0,8.0
Bangladesh,1995,115169930,2.22 %,2399595,-162759,19.6,4.06,885,22.4 %,25751454,2.00 %,5744212979.0,9.0
Bangladesh,1990,103171956,2.60 %,2481555,-43873,18.6,4.98,793,20.4 %,21037450,1.94 %,5327231061.0,9.0
Bangladesh,1985,90764183,2.65 %,2224938,-158765,17.8,5.98,697,18.0 %,16305971,1.86 %,4870921740.0,9.0
Bangladesh,1980,79639491,2.59 %,1914638,-227469,17.4,6.63,612,15.2 %,12099053,1.79 %,4458003514.0,8.0
Bangladesh,1975,70066301,1.75 %,1166764,-609057,17.7,6.91,538,10.0 %,7013461,1.72 %,4079480606.0,9.0
Bangladesh,1970,64232482,3.01 %,1769474,-32364,17.8,6.92,493,7.7 %,4938975,1.74 %,3700437046.0,9.0
Bangladesh,1965,55385112,2.90 %,1474322,-28476,18.4,6.8,425,6.3 %,3467675,1.66 %,3339583597.0,12.0
Bangladesh,1960,48013504,2.67 %,1185441,297,19.0,6.62,369,5.2 %,2474987,1.58 %,3034949748.0,11.0
Bangladesh,1955,42086301,2.12 %,838324,-11019,19.3,6.36,323,4.7 %,1974441,1.52 %,2773019936.0,12.0
Barbados,2020,287375,0.12 %,350,-79,40.5,1.62,668,31.2 %,89695,0.00 %,7794798739.0,183.0
Barbados,2019,287025,0.13 %,384,-79,39.3,1.63,668,31.2 %,89426,0.00 %,7713468100.0,183.0
Barbados,2018,286641,0.14 %,409,-79,39.3,1.63,667,31.1 %,89201,0.00 %,7631091040.0,182.0
Barbados,2017,286232,0.15 %,436,-79,39.3,1.63,666,31.1 %,89026,0.00 %,7547858925.0,181.0
Barbados,2016,285796,0.17 %,472,-79,39.3,1.63,665,31.1 %,88898,0.00 %,7464022049.0,181.0
Barbados,2015,285324,0.23 %,639,-79,39.0,1.63,664,31.1 %,88815,0.00 %,7379797139.0,181.0
Barbados,2010,282131,0.42 %,1162,-50,37.3,1.75,656,31.6 %,89099,0.00 %,6956823603.0,181.0
Barbados,2005,276323,0.35 %,962,-638,35.5,1.8,643,32.6 %,89988,0.00 %,6541907027.0,181.0
Barbados,2000,271515,0.41 %,1112,-729,33.7,1.74,631,33.6 %,91281,0.00 %,6143493823.0,180.0
Barbados,1995,265955,0.38 %,1004,-1079,31.2,1.73,619,35.4 %,94236,0.00 %,5744212979.0,178.0
Barbados,1990,260936,0.36 %,935,-1262,28.4,1.77,607,37.3 %,97406,0.00 %,5327231061.0,175.0
Barbados,1985,256263,0.30 %,774,-1571,26.3,1.92,596,38.7 %,99134,0.01 %,4870921740.0,175.0
Barbados,1980,252394,0.50 %,1248,-1110,24.4,2.16,587,40.1 %,101136,0.01 %,4458003514.0,171.0
Barbados,1975,246154,0.60 %,1452,-1387,23.7,2.72,572,38.8 %,95596,0.01 %,4079480606.0,171.0
Barbados,1970,238896,0.29 %,697,-2735,21.2,3.53,556,37.5 %,89687,0.01 %,3700437046.0,169.0
Barbados,1965,235413,0.38 %,887,-3592,20.7,4.27,547,37.1 %,87420,0.01 %,3339583597.0,165.0
Barbados,1960,230980,0.34 %,768,-3726,22.4,4.3,537,36.8 %,84932,0.01 %,3034949748.0,166.0
Barbados,1955,227138,1.49 %,3229,-1192,24.2,4.42,528,36.4 %,82687,0.01 %,2773019936.0,165.0
Belarus,2020,9449323,-0.03 %,-3088,8730,40.3,1.71,47,79.2 %,7483636,0.12 %,7794798739.0,96.0
Belarus,2019,9452411,0.00 %,-206,8730,39.7,1.66,47,78.9 %,7456954,0.12 %,7713468100.0,95.0
Belarus,2018,9452617,0.03 %,2386,8730,39.7,1.66,47,78.6 %,7428871,0.12 %,7631091040.0,95.0
Belarus,2017,9450231,0.05 %,4588,8730,39.7,1.66,47,78.3 %,7397955,0.13 %,7547858925.0,94.0
Belarus,2016,9445643,0.07 %,6220,8730,39.7,1.66,47,77.9 %,7362328,0.13 %,7464022049.0,93.0
Belarus,2015,9439423,0.04 %,3770,14425,39.5,1.65,47,77.6 %,7321167,0.13 %,7379797139.0,92.0
Belarus,2010,9420574,-0.30 %,-28303,12787,38.9,1.44,46,75.1 %,7073718,0.14 %,6956823603.0,88.0
Belarus,2005,9562088,-0.64 %,-61909,-1276,38.1,1.26,47,72.8 %,6961538,0.15 %,6541907027.0,82.0
Belarus,2000,9871632,-0.41 %,-41195,11229,36.5,1.31,49,70.4 %,6950857,0.16 %,6143493823.0,78.0
Belarus,1995,10077608,-0.15 %,-14705,-12611,34.7,1.68,50,68.4 %,6889223,0.18 %,5744212979.0,74.0
Belarus,1990,10151134,0.50 %,49928,-4604,33.1,2.08,50,66.4 %,6741161,0.19 %,5327231061.0,69.0
Belarus,1985,9901493,0.68 %,66329,9423,32.0,2.09,49,62.2 %,6162405,0.20 %,4870921740.0,68.0
Belarus,1980,9569847,0.68 %,63414,7660,31.3,2.09,47,56.9 %,5442915,0.21 %,4458003514.0,63.0
Belarus,1975,9252779,0.75 %,67845,7429,30.7,2.25,46,51.0 %,4715704,0.23 %,4079480606.0,60.0
Belarus,1970,8913552,0.94 %,81566,13117,30.3,2.28,44,44.3 %,3951059,0.24 %,3700437046.0,58.0
Belarus,1965,8505722,0.92 %,76168,-25077,28.9,2.59,42,38.4 %,3266902,0.25 %,3339583597.0,51.0
Belarus,1960,8124881,0.96 %,75534,-32907,28.2,2.73,40,32.6 %,2651936,0.27 %,3034949748.0,55.0
Belarus,1955,7747210,0.01 %,442,-77636,27.7,2.61,38,29.1 %,2251572,0.28 %,2773019936.0,51.0
Belgium,2020,11589623,0.44 %,50295,48000,41.9,1.71,383,98.3 %,11396775,0.15 %,7794798739.0,81.0
Belgium,2019,11539328,0.50 %,57150,48000,41.5,1.77,381,98.2 %,11336228,0.15 %,7713468100.0,79.0
Belgium,2018,11482178,0.55 %,62430,48000,41.5,1.77,379,98.1 %,11268675,0.15 %,7631091040.0,79.0
Belgium,2017,11419748,0.58 %,65328,48000,41.5,1.77,377,98.0 %,11196239,0.15 %,7547858925.0,78.0
Belgium,2016,11354420,0.59 %,66480,48000,41.5,1.77,375,98.0 %,11122008,0.15 %,7464022049.0,77.0
Belgium,2015,11287940,0.63 %,69840,51734,41.3,1.78,373,97.9 %,11048237,0.15 %,7379797139.0,78.0
Belgium,2010,10938739,0.73 %,78371,58854,40.9,1.82,361,97.7 %,10681812,0.16 %,6956823603.0,76.0
Belgium,2005,10546886,0.51 %,52971,43912,40.3,1.68,348,97.4 %,10272952,0.16 %,6541907027.0,75.0
Belgium,2000,10282033,0.19 %,19146,10174,39.0,1.6,340,97.1 %,9986809,0.17 %,6143493823.0,76.0
Belgium,1995,10186305,0.36 %,35952,21389,37.6,1.61,336,96.8 %,9857972,0.18 %,5744212979.0,71.0
Belgium,1990,10006544,0.18 %,17993,8511,36.5,1.56,330,96.4 %,9644013,0.19 %,5327231061.0,70.0
Belgium,1985,9916578,0.10 %,9517,3696,35.3,1.6,327,95.9 %,9512967,0.20 %,4870921740.0,67.0
Belgium,1980,9868995,0.20 %,19482,14705,34.3,1.7,326,95.4 %,9413159,0.22 %,4458003514.0,58.0
Belgium,1975,9771586,0.29 %,27881,14196,34.3,2.01,323,94.5 %,9232201,0.24 %,4079480606.0,58.0
Belgium,1970,9632180,0.40 %,37648,9458,34.6,2.39,318,93.8 %,9039111,0.26 %,3700437046.0,55.0
Belgium,1965,9443939,0.60 %,55315,7661,34.9,2.65,312,93.1 %,8795839,0.28 %,3339583597.0,43.0
Belgium,1960,9167365,0.62 %,56018,9327,35.1,2.5,303,92.5 %,8476183,0.30 %,3034949748.0,47.0
Belgium,1955,8887274,0.57 %,49951,10742,34.6,2.37,294,92.0 %,8174277,0.32 %,2773019936.0,43.0
Belize,2020,397628,1.86 %,7275,1200,25.5,2.32,17,46.1 %,183182,0.01 %,7794798739.0,177.0
Belize,2019,390353,1.90 %,7282,1200,24.0,2.53,17,45.9 %,178983,0.01 %,7713468100.0,177.0
Belize,2018,383071,1.94 %,7302,1200,24.0,2.53,17,45.6 %,174871,0.01 %,7631091040.0,178.0
Belize,2017,375769,2.00 %,7369,1200,24.0,2.53,16,45.5 %,170857,0.00 %,7547858925.0,179.0
Belize,2016,368400,2.07 %,7467,1200,24.0,2.53,16,45.3 %,166945,0.00 %,7464022049.0,179.0
Belize,2015,360933,2.28 %,7694,1519,23.7,2.58,16,45.2 %,163139,0.00 %,7379797139.0,179.0
Belize,2010,322464,2.59 %,7733,1744,21.9,2.84,14,45.1 %,145456,0.00 %,6956823603.0,179.0
Belize,2005,283800,2.79 %,7297,1159,20.3,3.35,12,45.2 %,128360,0.00 %,6541907027.0,180.0
Belize,2000,247315,3.63 %,8070,2382,19.2,3.85,11,45.4 %,112275,0.00 %,6143493823.0,181.0
Belize,1995,206963,1.99 %,3882,-1802,18.4,4.35,9,46.4 %,96084,0.00 %,5744212979.0,182.0
Belize,1990,187552,2.61 %,4526,-1081,17.9,4.7,8,47.5 %,89021,0.00 %,5327231061.0,182.0
Belize,1985,164921,2.73 %,4153,-1066,17.2,5.4,7,48.4 %,79853,0.00 %,4870921740.0,182.0
Belize,1980,144155,1.58 %,2179,-2708,16.4,6.2,6,49.4 %,71175,0.00 %,4458003514.0,185.0
Belize,1975,133260,1.75 %,2216,-2133,16.0,6.25,6,50.2 %,66858,0.00 %,4079480606.0,182.0
Belize,1970,122182,2.86 %,3213,-591,16.3,6.35,5,51.0 %,62268,0.00 %,3700437046.0,180.0
Belize,1965,106119,2.88 %,2811,-484,16.5,6.45,5,52.5 %,55692,0.00 %,3339583597.0,180.0
Belize,1960,92064,2.88 %,2439,-549,17.8,6.55,4,54.0 %,49741,0.00 %,3034949748.0,179.0
Belize,1955,79870,2.99 %,2190,-591,18.6,6.65,4,54.7 %,43673,0.00 %,2773019936.0,180.0
Benin,2020,12123200,2.73 %,322049,-2000,18.8,4.87,108,48.4 %,5869303,0.16 %,7794798739.0,77.0
Benin,2019,11801151,2.75 %,316107,-2000,18.4,5.15,105,47.9 %,5648384,0.15 %,7713468100.0,77.0
Benin,2018,11485044,2.77 %,309846,-2000,18.4,5.15,102,47.3 %,5434128,0.15 %,7631091040.0,78.0
Benin,2017,11175198,2.79 %,303135,-2000,18.4,5.15,99,46.8 %,5226646,0.15 %,7547858925.0,81.0
Benin,2016,10872063,2.80 %,296111,-2000,18.4,5.15,96,46.2 %,5026121,0.15 %,7464022049.0,81.0
Benin,2015,10575952,2.83 %,275339,-8454,18.2,5.22,94,45.7 %,4832633,0.14 %,7379797139.0,85.0
Benin,2010,9199259,2.88 %,243407,-9755,17.9,5.49,82,43.1 %,3964272,0.13 %,6956823603.0,90.0
Benin,2005,7982225,3.06 %,223255,5001,17.6,5.78,71,40.5 %,3236223,0.12 %,6541907027.0,92.0
Benin,2000,6865951,3.06 %,192079,-570,17.3,6.16,61,38.3 %,2631898,0.11 %,6143493823.0,94.0
Benin,1995,5905558,3.47 %,185412,13652,17.2,6.56,52,36.8 %,2170773,0.10 %,5744212979.0,95.0
Benin,1990,4978496,3.08 %,139999,-1745,17.1,6.88,44,34.5 %,1716829,0.09 %,5327231061.0,103.0
Benin,1985,4278501,2.85 %,112267,-2170,17.3,7.01,38,30.8 %,1317626,0.09 %,4870921740.0,106.0
Benin,1980,3717165,2.63 %,90400,-3879,17.7,7.0,33,27.3 %,1016229,0.08 %,4458003514.0,107.0
Benin,1975,3265165,2.31 %,70565,-4969,18.3,6.83,29,21.9 %,715214,0.08 %,4079480606.0,110.0
Benin,1970,2912340,2.04 %,55997,-4748,19.1,6.65,26,16.7 %,486086,0.08 %,3700437046.0,109.0
Benin,1965,2632356,1.60 %,40147,-4859,20.0,6.42,23,12.5 %,329541,0.08 %,3339583597.0,109.0
Benin,1960,2431622,1.09 %,25607,-4600,20.9,6.13,22,9.3 %,225522,0.08 %,3034949748.0,109.0
Benin,1955,2303587,0.43 %,9672,-4600,22.3,5.86,20,6.8 %,156746,0.08 %,2773019936.0,109.0
Bermuda,2019,62506,-0.4 %,-250,1250,97.3 %,60833,0.00 %,7713468100,206,,,
Bermuda,2018,62756,-0.46 %,-293,1255,97.3 %,61070,0.00 %,7631091040,206,,,
Bermuda,2017,63049,-0.49 %,-313,1261,97.3 %,61349,0.00 %,7547858925,206,,,
Bermuda,2016,63362,-0.52 %,-330,1267,97.3 %,61666,0 %,7464022049,205,,,
Bermuda,2015,63692,-0.52 %,-339,1274,97.3 %,62003,0 %,7379797139,205,,,
Bermuda,2010,65389,-0.26 %,-174,1308,97.8 %,63956,0 %,6956823603,205,,,
Bermuda,2005,66257,0.38 %,249,1325,98.3 %,65130,0 %,6541907027,205,,,
Bermuda,2000,65012,0.49 %,314,1300,98.5 %,64028,0 %,6143493823,205,,,
Bermuda,1995,63442,0.58 %,362,1269,98.8 %,62696,0 %,5744212979,205,,,
Bermuda,1990,61634,0.67 %,406,1233,98.9 %,60930,0 %,5327231061,204,,,
Bermuda,1985,59602,0.7 %,406,1192,98.9 %,58920,0 %,4870921740,204,,,
Bermuda,1980,57573,0.77 %,435,1151,99 %,56992,0 %,4458003514,203,,,
Bermuda,1975,55400,1.06 %,567,1108,99.3 %,54990,0 %,4079480606,202,,,
Bermuda,1970,52565,1.25 %,635,1051,99.5 %,52286,0 %,3700437046,200,,,
Bermuda,1965,49388,1.89 %,882,988,82.5 %,40755,0 %,3339583597,197,,,
Bermuda,1960,44979,2.02 %,854,900,99.9 %,44946,0 %,3034949748,198,,,
Bermuda,1955,40708,1.79 %,690,814,N.A.,N.A.,0 %,2773019936,197,,,
Bhutan,2020,771608,1.12 %,8516,320,28.1,2.0,20,45.8 %,353445,0.01 %,7794798739.0,165.0
Bhutan,2019,763092,1.15 %,8704,320,26.2,2.1,20,45.1 %,343810,0.01 %,7713468100.0,165.0
Bhutan,2018,754388,1.18 %,8825,320,26.2,2.1,20,44.3 %,334138,0.01 %,7631091040.0,165.0
Bhutan,2017,745563,1.20 %,8855,320,26.2,2.1,20,43.5 %,324393,0.01 %,7547858925.0,165.0
Bhutan,2016,736708,1.21 %,8832,320,26.2,2.1,19,42.7 %,314540,0.01 %,7464022049.0,165.0
Bhutan,2015,727876,1.21 %,8475,60,25.7,2.12,19,41.8 %,304542,0.01 %,7379797139.0,165.0
Bhutan,2010,685503,1.11 %,7353,-2194,23.3,2.55,18,36.9 %,253171,0.01 %,6956823603.0,165.0
Bhutan,2005,648739,1.88 %,11544,1234,21.4,3.1,17,31.3 %,203329,0.01 %,6541907027.0,164.0
Bhutan,2000,591021,2.03 %,11280,29,19.5,4.0,16,24.7 %,145753,0.01 %,6143493823.0,165.0
Bhutan,1995,534620,0.14 %,763,-11713,18.4,5.0,14,19.8 %,105741,0.01 %,5744212979.0,163.0
Bhutan,1990,530804,2.71 %,13308,319,18.1,5.9,14,16.6 %,88052,0.01 %,5327231061.0,162.0
Bhutan,1985,464266,2.67 %,11478,159,18.0,6.35,12,13.0 %,60459,0.01 %,4870921740.0,161.0
Bhutan,1980,406875,3.15 %,11696,2003,18.3,6.6,11,10.2 %,41458,0.01 %,4458003514.0,161.0
Bhutan,1975,348396,3.22 %,10216,2000,18.5,6.6,9,7.9 %,27566,0.01 %,4079480606.0,163.0
Bhutan,1970,297316,3.20 %,8664,2000,18.9,6.6,8,6.1 %,18165,0.01 %,3700437046.0,166.0
Bhutan,1965,253994,2.61 %,6141,1000,18.9,6.6,7,4.7 %,11927,0.01 %,3339583597.0,166.0
Bhutan,1960,223288,2.49 %,5166,1000,18.8,6.67,6,3.6 %,8029,0.01 %,3034949748.0,167.0
Bhutan,1955,197457,2.23 %,4132,1000,18.5,6.67,5,2.8 %,5431,0.01 %,2773019936.0,166.0
Bolivia,2020,11673021,1.39 %,159921,-9504,25.6,2.75,11,69.3 %,8094974,0.15 %,7794798739.0,80.0
Bolivia,2019,11513100,1.41 %,159958,-9504,24.4,2.99,11,69.0 %,7940041,0.15 %,7713468100.0,81.0
Bolivia,2018,11353142,1.43 %,160287,-9504,24.4,2.99,10,68.6 %,7786488,0.15 %,7631091040.0,80.0
Bolivia,2017,11192855,1.46 %,161041,-9504,24.4,2.99,10,68.2 %,7634445,0.15 %,7547858925.0,80.0
Bolivia,2016,11031814,1.49 %,162084,-9504,24.4,2.99,10,67.8 %,7484135,0.15 %,7464022049.0,80.0
Bolivia,2015,10869730,1.58 %,164228,-11524,24.1,3.05,10,67.5 %,7334993,0.15 %,7379797139.0,80.0
Bolivia,2010,10048590,1.71 %,163257,-13540,22.9,3.4,9,65.6 %,6588702,0.14 %,6956823603.0,82.0
Bolivia,2005,9232306,1.86 %,162808,-15544,21.9,3.85,9,63.4 %,5855799,0.14 %,6541907027.0,83.0
Bolivia,2000,8418264,2.01 %,159185,-12866,21.1,4.25,8,61.2 %,5152761,0.14 %,6143493823.0,86.0
Bolivia,1995,7622338,2.12 %,151499,-10334,20.5,4.68,7,58.7 %,4475674,0.13 %,5744212979.0,88.0
Bolivia,1990,6864842,2.13 %,137076,-12852,20.0,5.07,6,55.5 %,3810515,0.13 %,5327231061.0,90.0
Bolivia,1985,6179460,2.06 %,119905,-14734,19.7,5.3,6,50.8 %,3137990,0.13 %,4870921740.0,90.0
Bolivia,1980,5579935,2.21 %,115703,-8026,19.5,5.65,5,45.5 %,2540502,0.13 %,4458003514.0,90.0
Bolivia,1975,5001419,2.21 %,103483,-5324,19.4,5.9,5,41.4 %,2069502,0.12 %,4079480606.0,88.0
Bolivia,1970,4484004,2.11 %,89026,-4630,19.3,6.1,4,40.0 %,1792197,0.12 %,3700437046.0,91.0
Bolivia,1965,4038872,2.01 %,76383,-4152,19.3,6.3,4,38.6 %,1557303,0.12 %,3339583597.0,87.0
Bolivia,1960,3656955,1.88 %,65184,-2352,19.3,6.4,3,37.1 %,1357798,0.12 %,3034949748.0,89.0
Bolivia,1955,3331036,1.57 %,49841,-4772,19.8,6.5,3,35.7 %,1187684,0.12 %,2773019936.0,87.0
Bosnia And Herzegovina,2020,3280819,-0.61 %,-20181,-21585,43.1,1.27,64,52.3 %,1714810,0.04 %,7794798739.0,135.0
Bosnia And Herzegovina,2019,3301000,-0.69 %,-22925,-21585,41.2,1.31,65,51.6 %,1702789,0.04 %,7713468100.0,135.0
Bosnia And Herzegovina,2018,3323925,-0.82 %,-27600,-21585,41.2,1.31,65,50.9 %,1690295,0.04 %,7631091040.0,135.0
Bosnia And Herzegovina,2017,3351525,-1.03 %,-34741,-21585,41.2,1.31,66,50.1 %,1679011,0.04 %,7547858925.0,135.0
Bosnia And Herzegovina,2016,3386266,-1.26 %,-43095,-21585,41.2,1.31,66,49.4 %,1671135,0.05 %,7464022049.0,134.0
Bosnia And Herzegovina,2015,3429361,-1.54 %,-55222,-51706,40.7,1.31,67,48.6 %,1668024,0.05 %,7379797139.0,133.0
Bosnia And Herzegovina,2010,3705472,-0.32 %,-11972,-11849,38.9,1.31,73,45.8 %,1695719,0.05 %,6956823603.0,129.0
Bosnia And Herzegovina,2005,3765331,0.08 %,2831,-1200,36.9,1.32,74,44.2 %,1662534,0.06 %,6541907027.0,126.0
Bosnia And Herzegovina,2000,3751176,-0.41 %,-15575,-31857,35.0,1.68,74,42.6 %,1596468,0.06 %,6143493823.0,124.0
Bosnia And Herzegovina,1995,3829050,-3.02 %,-126875,-148143,33.1,1.7,75,41.0 %,1568899,0.07 %,5744212979.0,119.0
Bosnia And Herzegovina,1990,4463423,0.32 %,14258,-26917,29.8,1.86,88,39.2 %,1751867,0.08 %,5327231061.0,107.0
Bosnia And Herzegovina,1985,4392131,1.00 %,42455,-6000,27.3,2.02,86,37.6 %,1650972,0.09 %,4870921740.0,104.0
Bosnia And Herzegovina,1980,4179855,0.96 %,38950,-14826,25.4,2.27,82,35.5 %,1485634,0.09 %,4458003514.0,102.0
Bosnia And Herzegovina,1975,3985105,1.17 %,44915,-16449,23.4,2.73,78,31.3 %,1246861,0.10 %,4079480606.0,101.0
Bosnia And Herzegovina,1970,3760529,1.24 %,44977,-19392,22.2,3.14,74,27.2 %,1022891,0.10 %,3700437046.0,98.0
Bosnia And Herzegovina,1965,3535643,1.85 %,61995,-10000,21.9,3.68,69,22.8 %,806729,0.11 %,3339583597.0,94.0
Bosnia And Herzegovina,1960,3225668,1.90 %,57872,-10000,21.8,3.97,63,19.0 %,614172,0.11 %,3034949748.0,95.0
Bosnia And Herzegovina,1955,2936309,1.99 %,55003,-10000,20.8,4.82,58,16.2 %,474882,0.11 %,2773019936.0,94.0
Botswana,2020,2351627,2.08 %,47930,3000,24.0,2.89,4,72.8 %,1712212,0.03 %,7794798739.0,145.0
Botswana,2019,2303697,2.20 %,49629,3000,23.2,2.99,4,72.3 %,1666329,0.03 %,7713468100.0,145.0
Botswana,2018,2254068,2.22 %,48988,3000,23.2,2.99,4,71.9 %,1620326,0.03 %,7631091040.0,145.0
